% Moku:Go Oscilloscope
% Channel A
% Channel B
% Time span 2.341 ms, time offset 0.000 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Acquired 2023-03-12 T 14:40:23 +1100
Time (s), Voltage (V)
-6.312960000000e-04, 7.297265e-01
-6.289920000000e-04, 7.198034e-01
-6.266880000000e-04, 7.096514e-01
-6.243840000000e-04, 6.993466e-01
-6.220800000000e-04, 6.888893e-01
-6.197760000000e-04, 6.784319e-01
-6.174720000000e-04, 6.676692e-01
-6.151680000000e-04, 6.568301e-01
-6.128640000000e-04, 6.458385e-01
-6.105600000000e-04, 6.346941e-01
-6.082560000000e-04, 6.234734e-01
-6.059520000000e-04, 6.121001e-01
-6.036480000000e-04, 6.005740e-01
-6.013440000000e-04, 5.889717e-01
-5.990400000000e-04, 5.771404e-01
-5.967360000000e-04, 5.653090e-01
-5.944320000000e-04, 5.533250e-01
-5.921280000000e-04, 5.412647e-01
-5.898240000000e-04, 5.289754e-01
-5.875200000000e-04, 5.166097e-01
-5.852160000000e-04, 5.041677e-01
-5.829120000000e-04, 4.915731e-01
-5.806080000000e-04, 4.789021e-01
-5.783040000000e-04, 4.661548e-01
-5.760000000000e-04, 4.533311e-01
-5.736960000000e-04, 4.404311e-01
-5.713920000000e-04, 4.273785e-01
-5.690880000000e-04, 4.142495e-01
-5.667840000000e-04, 4.010442e-01
-5.644800000000e-04, 3.877626e-01
-5.621760000000e-04, 3.743283e-01
-5.598720000000e-04, 3.608177e-01
-5.575680000000e-04, 3.473071e-01
-5.552640000000e-04, 3.337201e-01
-5.529600000000e-04, 3.200568e-01
-5.506560000000e-04, 3.063172e-01
-5.483520000000e-04, 2.924249e-01
-5.460480000000e-04, 2.786090e-01
-5.437440000000e-04, 2.647167e-01
-5.414400000000e-04, 2.506717e-01
-5.391360000000e-04, 2.366268e-01
-5.368320000000e-04, 2.225818e-01
-5.345280000000e-04, 2.084606e-01
-5.322240000000e-04, 1.942630e-01
-5.299200000000e-04, 1.799890e-01
-5.276160000000e-04, 1.657914e-01
-5.253120000000e-04, 1.514411e-01
-5.230080000000e-04, 1.370909e-01
-5.207040000000e-04, 1.227406e-01
-5.184000000000e-04, 1.083903e-01
-5.160960000000e-04, 9.404006e-02
-5.137920000000e-04, 7.961346e-02
-5.114880000000e-04, 6.511053e-02
-5.091840000000e-04, 5.076026e-02
-5.068800000000e-04, 3.625733e-02
-5.045760000000e-04, 2.175440e-02
-5.022720000000e-04, 7.251466e-03
-4.999680000000e-04, -7.251466e-03
-4.976640000000e-04, -2.160174e-02
-4.953600000000e-04, -3.610467e-02
-4.930560000000e-04, -5.060760e-02
-4.907520000000e-04, -6.503420e-02
-4.884480000000e-04, -7.946080e-02
-4.861440000000e-04, -9.388740e-02
-4.838400000000e-04, -1.083140e-01
-4.815360000000e-04, -1.226643e-01
-4.792320000000e-04, -1.370909e-01
-4.769280000000e-04, -1.513648e-01
-4.746240000000e-04, -1.656387e-01
-4.723200000000e-04, -1.799127e-01
-4.700160000000e-04, -1.941103e-01
-4.677120000000e-04, -2.083079e-01
-4.654080000000e-04, -2.224292e-01
-4.631040000000e-04, -2.365505e-01
-4.608000000000e-04, -2.505191e-01
-4.584960000000e-04, -2.645640e-01
-4.561920000000e-04, -2.785326e-01
-4.538880000000e-04, -2.924249e-01
-4.515840000000e-04, -3.061645e-01
-4.492800000000e-04, -3.199041e-01
-4.469760000000e-04, -3.335674e-01
-4.446720000000e-04, -3.472307e-01
-4.423680000000e-04, -3.608177e-01
-4.400640000000e-04, -3.742520e-01
-4.377600000000e-04, -3.876099e-01
-4.354560000000e-04, -4.008916e-01
-4.331520000000e-04, -4.140969e-01
-4.308480000000e-04, -4.272258e-01
-4.285440000000e-04, -4.402785e-01
-4.262400000000e-04, -4.532548e-01
-4.239360000000e-04, -4.661548e-01
-4.216320000000e-04, -4.789021e-01
-4.193280000000e-04, -4.914967e-01
-4.170240000000e-04, -5.040150e-01
-4.147200000000e-04, -5.165334e-01
-4.124160000000e-04, -5.288227e-01
-4.101120000000e-04, -5.411120e-01
-4.078080000000e-04, -5.532487e-01
-4.055040000000e-04, -5.651564e-01
-4.032000000000e-04, -5.771404e-01
-4.008960000000e-04, -5.888190e-01
-3.985920000000e-04, -6.004977e-01
-3.962880000000e-04, -6.120237e-01
-3.939840000000e-04, -6.233207e-01
-3.916800000000e-04, -6.346941e-01
-3.893760000000e-04, -6.457621e-01
-3.870720000000e-04, -6.567538e-01
-3.847680000000e-04, -6.675929e-01
-3.824640000000e-04, -6.782792e-01
-3.801600000000e-04, -6.888893e-01
-3.778560000000e-04, -6.992703e-01
-3.755520000000e-04, -7.095750e-01
-3.732480000000e-04, -7.196507e-01
-3.709440000000e-04, -7.296501e-01
-3.686400000000e-04, -7.394969e-01
-3.663360000000e-04, -7.491146e-01
-3.640320000000e-04, -7.586560e-01
-3.617280000000e-04, -7.680447e-01
-3.594240000000e-04, -7.772045e-01
-3.571200000000e-04, -7.862116e-01
-3.548160000000e-04, -7.951423e-01
-3.525120000000e-04, -8.037677e-01
-3.502080000000e-04, -8.123168e-01
-3.479040000000e-04, -8.206369e-01
-3.456000000000e-04, -8.288807e-01
-3.432960000000e-04, -8.368955e-01
-3.409920000000e-04, -8.446813e-01
-3.386880000000e-04, -8.523907e-01
-3.363840000000e-04, -8.598712e-01
-3.340800000000e-04, -8.671990e-01
-3.317760000000e-04, -8.742978e-01
-3.294720000000e-04, -8.812439e-01
-3.271680000000e-04, -8.878848e-01
-3.248640000000e-04, -8.945256e-01
-3.225600000000e-04, -9.008611e-01
-3.202560000000e-04, -9.070439e-01
-3.179520000000e-04, -9.130741e-01
-3.156480000000e-04, -9.188752e-01
-3.133440000000e-04, -9.244474e-01
-3.110400000000e-04, -9.298669e-01
-3.087360000000e-04, -9.351338e-01
-3.064320000000e-04, -9.401716e-01
-3.041280000000e-04, -9.449805e-01
-3.018240000000e-04, -9.496367e-01
-2.995200000000e-04, -9.539876e-01
-2.972160000000e-04, -9.583385e-01
-2.949120000000e-04, -9.623077e-01
-2.926080000000e-04, -9.662006e-01
-2.903040000000e-04, -9.697882e-01
-2.880000000000e-04, -9.732231e-01
-2.856960000000e-04, -9.765053e-01
-2.833920000000e-04, -9.794822e-01
-2.810880000000e-04, -9.823065e-01
-2.787840000000e-04, -9.849017e-01
-2.764800000000e-04, -9.872680e-01
-2.741760000000e-04, -9.894816e-01
-2.718720000000e-04, -9.914662e-01
-2.695680000000e-04, -9.932218e-01
-2.672640000000e-04, -9.948248e-01
-2.649600000000e-04, -9.961988e-01
-2.626560000000e-04, -9.973437e-01
-2.603520000000e-04, -9.983360e-01
-2.580480000000e-04, -9.990230e-01
-2.557440000000e-04, -9.995573e-01
-2.534400000000e-04, -9.998627e-01
-2.511360000000e-04, -9.999390e-01
-2.488320000000e-04, -9.998627e-01
-2.465280000000e-04, -9.995573e-01
-2.442240000000e-04, -9.990230e-01
-2.419200000000e-04, -9.983360e-01
-2.396160000000e-04, -9.973437e-01
-2.373120000000e-04, -9.961988e-01
-2.350080000000e-04, -9.948248e-01
-2.327040000000e-04, -9.932218e-01
-2.304000000000e-04, -9.915425e-01
-2.280960000000e-04, -9.895579e-01
-2.257920000000e-04, -9.873443e-01
-2.234880000000e-04, -9.849017e-01
-2.211840000000e-04, -9.823828e-01
-2.188800000000e-04, -9.795585e-01
-2.165760000000e-04, -9.765053e-01
-2.142720000000e-04, -9.732994e-01
-2.119680000000e-04, -9.698645e-01
-2.096640000000e-04, -9.662006e-01
-2.073600000000e-04, -9.623840e-01
-2.050560000000e-04, -9.583385e-01
-2.027520000000e-04, -9.541403e-01
-2.004480000000e-04, -9.497130e-01
-1.981440000000e-04, -9.450568e-01
-1.958400000000e-04, -9.402480e-01
-1.935360000000e-04, -9.352864e-01
-1.912320000000e-04, -9.300196e-01
-1.889280000000e-04, -9.246001e-01
-1.866240000000e-04, -9.190279e-01
-1.843200000000e-04, -9.132267e-01
-1.820160000000e-04, -9.071966e-01
-1.797120000000e-04, -9.010137e-01
-1.774080000000e-04, -8.946782e-01
-1.751040000000e-04, -8.880374e-01
-1.728000000000e-04, -8.813966e-01
-1.704960000000e-04, -8.744505e-01
-1.681920000000e-04, -8.673517e-01
-1.658880000000e-04, -8.600239e-01
-1.635840000000e-04, -8.525434e-01
-1.612800000000e-04, -8.448339e-01
-1.589760000000e-04, -8.370482e-01
-1.566720000000e-04, -8.290334e-01
-1.543680000000e-04, -8.208659e-01
-1.520640000000e-04, -8.124695e-01
-1.497600000000e-04, -8.039967e-01
-1.474560000000e-04, -7.952950e-01
-1.451520000000e-04, -7.864406e-01
-1.428480000000e-04, -7.774335e-01
-1.405440000000e-04, -7.681974e-01
-1.382400000000e-04, -7.588087e-01
-1.359360000000e-04, -7.493436e-01
-1.336320000000e-04, -7.396495e-01
-1.313280000000e-04, -7.298791e-01
-1.290240000000e-04, -7.199561e-01
-1.267200000000e-04, -7.098040e-01
-1.244160000000e-04, -6.994993e-01
-1.221120000000e-04, -6.890419e-01
-1.198080000000e-04, -6.785845e-01
-1.175040000000e-04, -6.678218e-01
-1.152000000000e-04, -6.569828e-01
-1.128960000000e-04, -6.459911e-01
-1.105920000000e-04, -6.348468e-01
-1.082880000000e-04, -6.236261e-01
-1.059840000000e-04, -6.122527e-01
-1.036800000000e-04, -6.007267e-01
-1.013760000000e-04, -5.891244e-01
-9.907200000000e-05, -5.772930e-01
-9.676800000000e-05, -5.654617e-01
-9.446400000000e-05, -5.534777e-01
-9.216000000000e-05, -5.414173e-01
-8.985600000000e-05, -5.291280e-01
-8.755200000000e-05, -5.167624e-01
-8.524800000000e-05, -5.043204e-01
-8.294400000000e-05, -4.918021e-01
-8.064000000000e-05, -4.791311e-01
-7.833600000000e-05, -4.664601e-01
-7.603200000000e-05, -4.535601e-01
-7.372800000000e-05, -4.405838e-01
-7.142400000000e-05, -4.275312e-01
-6.912000000000e-05, -4.144022e-01
-6.681600000000e-05, -4.011969e-01
-6.451200000000e-05, -3.879153e-01
-6.220800000000e-05, -3.744810e-01
-5.990400000000e-05, -3.609703e-01
-5.760000000000e-05, -3.475360e-01
-5.529600000000e-05, -3.338728e-01
-5.299200000000e-05, -3.202095e-01
-5.068800000000e-05, -3.064698e-01
-4.838400000000e-05, -2.927302e-01
-4.608000000000e-05, -2.788379e-01
-4.377600000000e-05, -2.648693e-01
-4.147200000000e-05, -2.508244e-01
-3.916800000000e-05, -2.368558e-01
-3.686400000000e-05, -2.227345e-01
-3.456000000000e-05, -2.086132e-01
-3.225600000000e-05, -1.944156e-01
-2.995200000000e-05, -1.802180e-01
-2.764800000000e-05, -1.659441e-01
-2.534400000000e-05, -1.517465e-01
-2.304000000000e-05, -1.373962e-01
-2.073600000000e-05, -1.229696e-01
-1.843200000000e-05, -1.086193e-01
-1.612800000000e-05, -9.419273e-02
-1.382400000000e-05, -7.976612e-02
-1.152000000000e-05, -6.533952e-02
-9.216000000000e-06, -5.091292e-02
-6.912000000000e-06, -3.640999e-02
-4.608000000000e-06, -2.198339e-02
-2.304000000000e-06, -7.556791e-03
0.000000000000e+00, 6.946141e-03
2.304000000000e-06, 2.144907e-02
4.608000000000e-06, 3.595200e-02
6.912000000000e-06, 5.037861e-02
9.216000000000e-06, 6.480521e-02
1.152000000000e-05, 7.930814e-02
1.382400000000e-05, 9.373474e-02
1.612800000000e-05, 1.080850e-01
1.843200000000e-05, 1.224353e-01
2.073600000000e-05, 1.367855e-01
2.304000000000e-05, 1.511358e-01
2.534400000000e-05, 1.654861e-01
2.764800000000e-05, 1.796837e-01
2.995200000000e-05, 1.939576e-01
3.225600000000e-05, 2.081552e-01
3.456000000000e-05, 2.222765e-01
3.686400000000e-05, 2.363215e-01
3.916800000000e-05, 2.503664e-01
4.147200000000e-05, 2.644113e-01
4.377600000000e-05, 2.783036e-01
4.608000000000e-05, 2.921196e-01
4.838400000000e-05, 3.060119e-01
5.068800000000e-05, 3.197515e-01
5.299200000000e-05, 3.334148e-01
5.529600000000e-05, 3.470017e-01
5.760000000000e-05, 3.605124e-01
5.990400000000e-05, 3.740230e-01
