% Moku:Go Oscilloscope
% Channel A
% Channel B
% Time span 2.341 ms, time offset 0.000 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Acquired 2023-03-12 T 14:41:12 +1100
Time (s), Voltage (V), Freq (Hz), FFT (dBm)
-6.336000000000e-04, 7.395732e-01, 5.368320e-04, -1.037205e+02
-6.312960000000e-04, 7.297265e-01, 5.391360e-04, -1.010728e+02
-6.289920000000e-04, 7.198034e-01, 5.414400e-04, -9.952234e+01
-6.266880000000e-04, 7.096514e-01, 5.437440e-04, -1.001879e+02
-6.243840000000e-04, 6.993466e-01, 5.460480e-04, -1.047818e+02
-6.220800000000e-04, 6.888893e-01, 5.483520e-04, -1.013607e+02
-6.197760000000e-04, 6.784319e-01, 5.506560e-04, -9.832481e+01
-6.174720000000e-04, 6.676692e-01, 5.529600e-04, -9.910940e+01
-6.151680000000e-04, 6.568301e-01, 5.552640e-04, -1.022310e+02
-6.128640000000e-04, 6.458385e-01, 5.575680e-04, -1.042217e+02
-6.105600000000e-04, 6.346941e-01, 5.598720e-04, -1.000668e+02
-6.082560000000e-04, 6.234734e-01, 5.621760e-04, -9.937512e+01
-6.059520000000e-04, 6.121001e-01, 5.644800e-04, -1.062728e+02
-6.036480000000e-04, 6.005740e-01, 5.667840e-04, -1.100097e+02
-6.013440000000e-04, 5.889717e-01, 5.690880e-04, -1.051114e+02
-5.990400000000e-04, 5.771404e-01, 5.713920e-04, -1.136829e+02
-5.967360000000e-04, 5.653090e-01, 5.736960e-04, -1.077756e+02
-5.944320000000e-04, 5.533250e-01, 5.760000e-04, -1.015631e+02
-5.921280000000e-04, 5.412647e-01, 5.783040e-04, -9.966884e+01
-5.898240000000e-04, 5.289754e-01, 5.806080e-04, -1.008789e+02
-5.875200000000e-04, 5.166097e-01, 5.829120e-04, -1.052787e+02
