% Moku:Go Oscilloscope
% Channel A
% Channel B
% Time span 2.754 ms, time offset 0.000 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Acquired 2023-03-12 T 14:48:05 +1100
Time (s), Voltage (V), Freq (Hz), FFT (dBm)
-7.646720000000e-04, 9.461255e-01, 6.124800e-04, -6.389911e+01
-7.618880000000e-04, 9.572698e-01, 6.152640e-04, -5.821220e+01
-7.591040000000e-04, 9.684142e-01, 6.180480e-04, -5.583279e+01
-7.563200000000e-04, 9.795585e-01, 6.208320e-04, -5.625120e+01
-7.535360000000e-04, 9.907029e-01, 6.236160e-04, -5.957729e+01
-7.507520000000e-04, 9.962751e-01, 6.264000e-04, -6.674386e+01
-7.479680000000e-04, 9.870390e-01, 6.291840e-04, -8.336413e+01
-7.451840000000e-04, 9.758946e-01, 6.319680e-04, -8.582342e+01
-7.424000000000e-04, 9.647503e-01, 6.347520e-04, -1.027575e+02
-7.396160000000e-04, 9.536059e-01, 6.375360e-04, -8.596432e+01
-7.368320000000e-04, 9.424616e-01, 6.403200e-04, -8.920485e+01
-7.340480000000e-04, 9.313172e-01, 6.431040e-04, -6.890746e+01
-7.312640000000e-04, 9.201729e-01, 6.458880e-04, -6.111760e+01
-7.284800000000e-04, 9.090285e-01, 6.486720e-04, -5.741120e+01
-7.256960000000e-04, 8.978841e-01, 6.514560e-04, -5.666949e+01
-7.229120000000e-04, 8.867398e-01, 6.542400e-04, -5.873450e+01
-7.201280000000e-04, 8.756718e-01, 6.570240e-04, -6.408485e+01
-7.173440000000e-04, 8.645274e-01, 6.598080e-04, -7.497040e+01
-7.145600000000e-04, 8.533830e-01, 6.625920e-04, -9.149376e+01
-7.117760000000e-04, 8.422387e-01, 6.653760e-04, -9.071569e+01
-7.089920000000e-04, 8.311707e-01, 6.681600e-04, -8.834124e+01
-7.062080000000e-04, 8.200263e-01, 6.709440e-04, -9.041662e+01
-7.034240000000e-04, 8.088819e-01, 6.737280e-04, -7.549310e+01
-7.006400000000e-04, 7.977376e-01, 6.765120e-04, -6.474149e+01
-6.978560000000e-04, 7.865932e-01, 6.792960e-04, -5.952596e+01
-6.950720000000e-04, 7.754489e-01, 6.820800e-04, -5.757978e+01
-6.922880000000e-04, 7.643045e-01, 6.848640e-04, -5.845460e+01
-6.895040000000e-04, 7.531601e-01, 6.876480e-04, -6.235503e+01
-6.867200000000e-04, 7.420158e-01, 6.904320e-04, -7.053031e+01
-6.839360000000e-04, 7.308714e-01, 6.932160e-04, -9.034816e+01
-6.811520000000e-04, 7.197271e-01, 6.960000e-04, -8.583232e+01
-6.783680000000e-04, 7.085827e-01, 6.987840e-04, -9.986289e+01
-6.755840000000e-04, 6.974384e-01, 7.015680e-04, -8.888880e+01
-6.728000000000e-04, 6.862940e-01, 7.043520e-04, -8.353979e+01
-6.700160000000e-04, 6.751496e-01, 7.071360e-04, -6.858105e+01
-6.672320000000e-04, 6.640053e-01, 7.099200e-04, -6.177581e+01
-6.644480000000e-04, 6.529373e-01, 7.127040e-04, -5.867155e+01
-6.616640000000e-04, 6.417929e-01, 7.154880e-04, -5.845438e+01
-6.588800000000e-04, 6.306485e-01, 7.182720e-04, -6.108490e+01
-6.560960000000e-04, 6.195042e-01, 7.210560e-04, -6.721433e+01
-6.533120000000e-04, 6.083598e-01, 7.238400e-04, -8.002729e+01
-6.505280000000e-04, 5.972918e-01, 7.266240e-04, -8.922168e+01
-6.477440000000e-04, 5.861474e-01, 7.294080e-04, -9.429609e+01
-6.449600000000e-04, 5.750031e-01, 7.321920e-04, -8.950525e+01
-6.421760000000e-04, 5.638587e-01, 7.349760e-04, -9.623823e+01
-6.393920000000e-04, 5.527144e-01, 7.377600e-04, -7.381032e+01
-6.366080000000e-04, 5.415700e-01, 7.405440e-04, -6.481260e+01
-6.338240000000e-04, 5.304256e-01, 7.433280e-04, -6.039063e+01
-6.310400000000e-04, 5.192813e-01, 7.461120e-04, -5.905135e+01
-6.282560000000e-04, 5.081369e-01, 7.488960e-04, -6.050721e+01
-6.254720000000e-04, 4.969926e-01, 7.516800e-04, -6.507792e+01
-6.226880000000e-04, 4.858482e-01, 7.544640e-04, -7.435490e+01
-6.199040000000e-04, 4.747039e-01, 7.572480e-04, -1.019053e+02
-6.171200000000e-04, 4.635595e-01, 7.600320e-04, -9.101178e+01
-6.143360000000e-04, 4.524151e-01, 7.628160e-04, -9.421505e+01
-6.115520000000e-04, 4.412708e-01, 7.656000e-04, -8.969608e+01
-6.087680000000e-04, 4.301264e-01, 7.683840e-04, -8.087124e+01
-6.059840000000e-04, 4.190584e-01, 7.711680e-04, -6.845298e+01
-6.032000000000e-04, 4.079904e-01, 7.739520e-04, -6.249413e+01
-6.004160000000e-04, 3.968460e-01, 7.767360e-04, -5.997951e+01
-5.976320000000e-04, 3.857017e-01, 7.795200e-04, -6.029044e+01
-5.948480000000e-04, 3.745573e-01, 7.823040e-04, -6.348725e+01
-5.920640000000e-04, 3.634129e-01, 7.850880e-04, -7.041255e+01
-5.892800000000e-04, 3.522686e-01, 7.878720e-04, -8.580127e+01
-5.864960000000e-04, 3.411242e-01, 7.906560e-04, -9.040086e+01
-5.837120000000e-04, 3.299799e-01, 7.934400e-04, -1.020501e+02
-5.809280000000e-04, 3.188355e-01, 7.962240e-04, -9.188640e+01
-5.781440000000e-04, 3.076911e-01, 7.990080e-04, -9.148185e+01
-5.753600000000e-04, 2.965468e-01, 8.017920e-04, -7.278675e+01
-5.725760000000e-04, 2.854024e-01, 8.045760e-04, -6.507754e+01
-5.697920000000e-04, 2.742581e-01, 8.073600e-04, -6.135320e+01
-5.670080000000e-04, 2.631137e-01, 8.101440e-04, -6.056696e+01
-5.642240000000e-04, 2.519694e-01, 8.129280e-04, -6.257061e+01
-5.614400000000e-04, 2.408250e-01, 8.157120e-04, -6.782687e+01
-5.586560000000e-04, 2.297570e-01, 8.184960e-04, -7.846035e+01
-5.558720000000e-04, 2.186889e-01, 8.212800e-04, -9.662511e+01
-5.530880000000e-04, 2.075446e-01, 8.240640e-04, -9.499107e+01
-5.503040000000e-04, 1.964002e-01, 8.268480e-04, -9.338104e+01
-5.475200000000e-04, 1.852559e-01, 8.296320e-04, -9.559728e+01
-5.447360000000e-04, 1.741115e-01, 8.324160e-04, -7.905796e+01
-5.419520000000e-04, 1.629672e-01, 8.352000e-04, -6.841440e+01
-5.391680000000e-04, 1.518228e-01, 8.379840e-04, -6.320670e+01
-5.363840000000e-04, 1.406784e-01, 8.407680e-04, -6.125340e+01
-5.336000000000e-04, 1.295341e-01, 8.435520e-04, -6.211142e+01
-5.308160000000e-04, 1.183897e-01, 8.463360e-04, -6.597127e+01
-5.280320000000e-04, 1.072454e-01, 8.491200e-04, -7.401708e+01
-5.252480000000e-04, 9.610101e-02, 8.519040e-04, -9.475882e+01
-5.224640000000e-04, 8.495665e-02, 8.546880e-04, -9.094045e+01
-5.196800000000e-04, 7.381229e-02, 8.574720e-04, -1.119432e+02
-5.168960000000e-04, 6.266793e-02, 8.602560e-04, -9.346854e+01
-5.141120000000e-04, 5.152357e-02, 8.630400e-04, -8.639198e+01
-5.113280000000e-04, 4.037922e-02, 8.658240e-04, -7.206547e+01
-5.085440000000e-04, 2.931119e-02, 8.686080e-04, -6.536740e+01
-5.057600000000e-04, 1.824316e-02, 8.713920e-04, -6.229115e+01
-5.029760000000e-04, 7.098803e-03, 8.741760e-04, -6.206973e+01
